2025-07-14 22:28:38,993 - Q:samplenew3_00000765 | Run:1/10 | Emotions:['Fear', 'Anxiety', 'Desperation', 'Resignation', 'Shame'] | Duration:11.13s
2025-07-14 22:59:25,565 - Q:samplenew3_00000084 | Run:4/10 | Emotions:['Frustration', 'Concern', 'Caution'] | Duration:8.57s
2025-07-14 22:59:37,754 - Q:samplenew3_00000084 | Run:5/10 | Emotions:['Worry', 'Concern', 'Urgency', 'Frustration'] | Duration:12.19s
2025-07-14 22:59:46,989 - Q:samplenew3_00000084 | Run:6/10 | Emotions:['Frustration', 'Exasperation', 'Concern'] | Duration:9.23s
2025-07-14 22:59:54,375 - Q:samplenew3_00000084 | Run:7/10 | Emotions:['Worry', 'Concern'] | Duration:7.39s
2025-07-14 23:00:03,492 - Q:samplenew3_00000084 | Run:8/10 | Emotions:['Frustration', 'Impatience', 'Concern'] | Duration:9.12s
2025-07-14 23:00:13,850 - Q:samplenew3_00000084 | Run:9/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:10.36s
2025-07-14 23:00:22,765 - Q:samplenew3_00000084 | Run:10/10 | Emotions:['Worry', 'Concern', 'Frustration'] | Duration:8.92s
2025-07-14 23:00:32,761 - Q:samplenew3_00000360 | Run:1/10 | Emotions:['Shame', 'Regret', 'Helplessness'] | Duration:9.99s
2025-07-14 23:00:44,176 - Q:samplenew3_00000360 | Run:2/10 | Emotions:['Shame', 'Disappointment', 'Frustration', 'Irritation'] | Duration:11.41s
2025-07-14 23:00:54,936 - Q:samplenew3_00000360 | Run:3/10 | Emotions:['Shame', 'Disappointment', 'Frustration'] | Duration:10.76s
2025-07-14 23:01:04,330 - Q:samplenew3_00000360 | Run:4/10 | Emotions:['Ashamed', 'Regretful', 'Annoyed'] | Duration:9.39s
2025-07-14 23:01:18,153 - Q:samplenew3_00000360 | Run:5/10 | Emotions:['Ashamed', 'Regretful', 'Helpless', 'Frustrated'] | Duration:13.82s
2025-07-14 23:01:27,399 - Q:samplenew3_00000360 | Run:6/10 | Emotions:['Ashamed', 'Disappointed', 'Annoyed'] | Duration:9.24s
2025-07-14 23:01:37,880 - Q:samplenew3_00000360 | Run:7/10 | Emotions:['Ashamed', 'Regretful', 'Frustrated', 'Annoyed'] | Duration:10.48s
2025-07-14 23:01:47,596 - Q:samplenew3_00000360 | Run:8/10 | Emotions:['Ashamed', 'Regretful', 'Annoyed'] | Duration:9.72s
2025-07-14 23:01:57,553 - Q:samplenew3_00000360 | Run:9/10 | Emotions:['Shame', 'Regret', 'Disappointment'] | Duration:9.96s
2025-07-14 23:02:06,746 - Q:samplenew3_00000360 | Run:10/10 | Emotions:['Shame', 'Regret', 'Annoyance'] | Duration:9.19s
2025-07-14 23:02:16,526 - Q:samplenew3_00000723 | Run:1/10 | Emotions:['Respect', 'Curiosity', 'Politeness'] | Duration:9.78s
2025-07-14 23:02:25,868 - Q:samplenew3_00000723 | Run:2/10 | Emotions:['Respect', 'Curiosity', 'Politeness'] | Duration:9.34s
2025-07-14 23:02:34,382 - Q:samplenew3_00000723 | Run:3/10 | Emotions:['Curiosity', 'Respect', 'Politeness'] | Duration:8.51s
2025-07-14 23:02:43,542 - Q:samplenew3_00000723 | Run:4/10 | Emotions:['Curiosity', 'Respect', 'Politeness'] | Duration:9.16s
2025-07-14 23:02:54,951 - Q:samplenew3_00000723 | Run:5/10 | Emotions:['Curiosity', 'Respect', 'Politeness'] | Duration:11.41s
2025-07-14 23:03:04,684 - Q:samplenew3_00000723 | Run:6/10 | Emotions:['Curiosity', 'Politeness', 'Formality'] | Duration:9.73s
2025-07-14 23:03:14,868 - Q:samplenew3_00000723 | Run:7/10 | Emotions:['Curiosity', 'Respect', 'Formality'] | Duration:10.18s
2025-07-14 23:03:24,036 - Q:samplenew3_00000723 | Run:8/10 | Emotions:['Curiosity', 'Respect', 'Politeness'] | Duration:9.17s
2025-07-14 23:03:34,576 - Q:samplenew3_00000723 | Run:9/10 | Emotions:['Respect', 'Politeness', 'Formality'] | Duration:10.54s
2025-07-14 23:03:44,496 - Q:samplenew3_00000723 | Run:10/10 | Emotions:['Curiosity', 'Respect', 'Politeness'] | Duration:9.92s
2025-07-14 23:03:56,103 - Q:samplenew3_00000347 | Run:1/10 | Emotions:['Frustration', 'Disappointment', 'Restlessness', 'Excitement'] | Duration:11.61s
2025-07-14 23:04:07,871 - Q:samplenew3_00000347 | Run:2/10 | Emotions:['Frustration', 'Boredom', 'Excitement', 'Anticipation'] | Duration:11.77s
2025-07-14 23:04:17,507 - Q:samplenew3_00000347 | Run:3/10 | Emotions:['Frustration', 'Disappointment', 'Boredom', 'Anticipation'] | Duration:9.64s
2025-07-14 23:04:29,508 - Q:samplenew3_00000347 | Run:4/10 | Emotions:['Boredom', 'Frustration', 'Disappointment', 'Hope', 'Excitement', 'Anticipation'] | Duration:12.00s
2025-07-14 23:04:39,245 - Q:samplenew3_00000347 | Run:5/10 | Emotions:['Frustration', 'Disappointment', 'Hope', 'Excitement'] | Duration:9.74s
2025-07-14 23:04:50,195 - Q:samplenew3_00000347 | Run:6/10 | Emotions:['Frustration', 'Disappointment', 'Longing', 'Anticipation'] | Duration:10.95s
2025-07-14 23:05:03,192 - Q:samplenew3_00000347 | Run:7/10 | Emotions:['Frustration', 'Disappointment', 'Anticipation', 'Excitement', 'Hope'] | Duration:13.00s
2025-07-14 23:05:13,652 - Q:samplenew3_00000347 | Run:8/10 | Emotions:['Frustration', 'Excitement'] | Duration:10.46s
2025-07-14 23:05:24,803 - Q:samplenew3_00000347 | Run:9/10 | Emotions:['Frustration', 'Disappointment', 'Desperation', 'Longing', 'Eagerness'] | Duration:11.15s
2025-07-14 23:05:35,826 - Q:samplenew3_00000347 | Run:10/10 | Emotions:['Frustration', 'Hope', 'Excitement'] | Duration:11.02s
2025-07-14 23:05:44,952 - Q:samplenew3_00000511 | Run:1/10 | Emotions:['Serious', 'Shocked', 'Disappointed'] | Duration:9.12s
2025-07-14 23:05:55,498 - Q:samplenew3_00000511 | Run:2/10 | Emotions:['Fury', 'Horror', 'Disgust'] | Duration:10.55s
2025-07-14 23:06:06,177 - Q:samplenew3_00000511 | Run:3/10 | Emotions:['Serious', 'Firm', 'Dread', 'Concern', 'Anger'] | Duration:10.68s
2025-07-14 23:06:15,828 - Q:samplenew3_00000511 | Run:4/10 | Emotions:['Serious', 'Shock', 'Fear', 'Disgust'] | Duration:9.65s
2025-07-14 23:06:26,887 - Q:samplenew3_00000511 | Run:5/10 | Emotions:['Serious', 'Severe', 'Firm', 'Authoritative', 'Somber'] | Duration:11.06s
2025-07-14 23:06:38,299 - Q:samplenew3_00000511 | Run:6/10 | Emotions:['Serious', 'Firm', 'Severe', 'Dreadful', 'Concerned'] | Duration:11.41s
2025-07-14 23:06:50,550 - Q:samplenew3_00000511 | Run:7/10 | Emotions:['Serious', 'Firm', 'Authoritative', 'Concerned', 'Fearful', 'Dreadful'] | Duration:12.25s
2025-07-14 23:06:59,426 - Q:samplenew3_00000511 | Run:8/10 | Emotions:['Fear', 'Shock', 'Disapproval', 'Concern'] | Duration:8.88s
2025-07-14 23:07:09,327 - Q:samplenew3_00000511 | Run:9/10 | Emotions:['Serious', 'Concerned', 'Shocked', 'Fearful'] | Duration:9.90s
2025-07-14 23:07:19,591 - Q:samplenew3_00000511 | Run:10/10 | Emotions:['Serious', 'Firm', 'Severe', 'Unyielding'] | Duration:10.26s
2025-07-14 23:07:29,665 - Q:samplenew3_00000261 | Run:1/10 | Emotions:['Bitter', 'Despair', 'Desperation', 'Sadness', 'Resignation'] | Duration:10.07s
2025-07-14 23:07:41,709 - Q:samplenew3_00000261 | Run:2/10 | Emotions:['Despair', 'Helplessness', 'Resignation', 'Sadness', 'Longing'] | Duration:12.04s
2025-07-14 23:07:54,697 - Q:samplenew3_00000261 | Run:3/10 | Emotions:['Despair', 'Helplessness', 'Melancholy', 'Longing'] | Duration:12.99s
2025-07-14 23:08:04,722 - Q:samplenew3_00000261 | Run:4/10 | Emotions:['Despair', 'Helplessness', 'Resignation'] | Duration:10.02s
2025-07-14 23:08:15,080 - Q:samplenew3_00000261 | Run:5/10 | Emotions:['Bitter', 'Helpless', 'Desperate', 'Sadness'] | Duration:10.36s
2025-07-14 23:08:25,294 - Q:samplenew3_00000261 | Run:6/10 | Emotions:['Desperation', 'Resignation', 'Frustration'] | Duration:10.21s
2025-07-14 23:08:35,430 - Q:samplenew3_00000261 | Run:7/10 | Emotions:['Despair', 'Resignation', 'Helplessness'] | Duration:10.14s
2025-07-14 23:08:46,817 - Q:samplenew3_00000261 | Run:8/10 | Emotions:['Desperation', 'Frustration', 'Resignation', 'Hopelessness'] | Duration:11.39s
2025-07-14 23:08:57,249 - Q:samplenew3_00000261 | Run:9/10 | Emotions:['Sadness', 'Despair', 'Desperation', 'Hopelessness', 'Frustration'] | Duration:10.43s
2025-07-14 23:09:10,066 - Q:samplenew3_00000261 | Run:10/10 | Emotions:['Sadness', 'Helplessness', 'Desperation', 'Resignation', 'Weariness'] | Duration:12.82s
2025-07-14 23:09:20,523 - Q:samplenew3_00000432 | Run:1/10 | Emotions:['Excitement', 'Curiosity', 'Nostalgia'] | Duration:10.46s
2025-07-14 23:09:30,105 - Q:samplenew3_00000432 | Run:2/10 | Emotions:['Curious', 'Anticipation', 'Excitement'] | Duration:9.58s
2025-07-14 23:09:40,107 - Q:samplenew3_00000432 | Run:3/10 | Emotions:['Excitement', 'Curiosity'] | Duration:10.00s
2025-07-14 23:09:49,388 - Q:samplenew3_00000432 | Run:4/10 | Emotions:['Curiosity', 'Excitement'] | Duration:9.28s
2025-07-14 23:09:58,657 - Q:samplenew3_00000432 | Run:5/10 | Emotions:['Curiosity', 'Excitement', 'Anticipation', 'Neutrality'] | Duration:9.27s
2025-07-14 23:10:09,403 - Q:samplenew3_00000432 | Run:6/10 | Emotions:['Curiosity', 'Excitement', 'Anticipation', 'Neutrality'] | Duration:10.75s
2025-07-14 23:10:18,870 - Q:samplenew3_00000432 | Run:7/10 | Emotions:['Curiosity', 'Anticipation', 'Excitement'] | Duration:9.47s
2025-07-14 23:10:28,335 - Q:samplenew3_00000432 | Run:8/10 | Emotions:['Excitement', 'Curiosity', 'Anticipation'] | Duration:9.46s
2025-07-14 23:10:37,901 - Q:samplenew3_00000432 | Run:9/10 | Emotions:['Curiosity', 'Excitement', 'Anticipation'] | Duration:9.57s
2025-07-14 23:10:49,114 - Q:samplenew3_00000432 | Run:10/10 | Emotions:['Curiosity', 'Excitement', 'Surprise', 'Expectation', 'Neutrality'] | Duration:11.21s
2025-07-14 23:10:58,176 - Q:samplenew3_00000593 | Run:1/10 | Emotions:['Frustration', 'Disappointment', 'Anxiety', 'Limitation'] | Duration:9.06s
2025-07-14 23:11:07,824 - Q:samplenew3_00000593 | Run:2/10 | Emotions:['Frustration', 'Disappointment', 'Restriction'] | Duration:9.65s
2025-07-14 23:11:18,235 - Q:samplenew3_00000593 | Run:3/10 | Emotions:['Frustration', 'Disappointment', 'Restriction', 'Sadness'] | Duration:10.41s
2025-07-14 23:11:26,766 - Q:samplenew3_00000593 | Run:4/10 | Emotions:['Frustration', 'Disappointment', 'Anxiety'] | Duration:8.53s
2025-07-14 23:11:38,654 - Q:samplenew3_00000593 | Run:5/10 | Emotions:['Frustration', 'Disappointment', 'Restriction'] | Duration:11.89s
2025-07-14 23:11:47,971 - Q:samplenew3_00000593 | Run:6/10 | Emotions:['Frustration', 'Disappointment', 'Restriction'] | Duration:9.32s
2025-07-14 23:11:57,246 - Q:samplenew3_00000593 | Run:7/10 | Emotions:['Frustration', 'Restraint', 'Disappointment'] | Duration:9.27s
2025-07-14 23:12:06,364 - Q:samplenew3_00000593 | Run:8/10 | Emotions:['Frustration', 'Disappointment', 'Restriction', 'Annoyance'] | Duration:9.12s
2025-07-14 23:12:15,609 - Q:samplenew3_00000593 | Run:9/10 | Emotions:['Frustration', 'Disappointment', 'Restriction', 'Confinement'] | Duration:9.24s
2025-07-14 23:12:25,266 - Q:samplenew3_00000593 | Run:10/10 | Emotions:['Frustration', 'Disappointment'] | Duration:9.66s
2025-07-14 23:12:37,915 - Q:samplenew3_00000220 | Run:1/10 | Emotions:['Nostalgia', 'Longing', 'Excitement', 'Sentimentality'] | Duration:12.65s
2025-07-14 23:12:49,709 - Q:samplenew3_00000220 | Run:2/10 | Emotions:['Nostalgia', 'Excitement', 'Sentimentalness'] | Duration:11.79s
2025-07-14 23:13:00,609 - Q:samplenew3_00000220 | Run:3/10 | Emotions:['Nostalgia', 'Longing', 'Excitement'] | Duration:10.90s
2025-07-14 23:13:11,717 - Q:samplenew3_00000220 | Run:4/10 | Emotions:['Nostalgia', 'Longing', 'Excitement'] | Duration:11.11s
2025-07-14 23:13:23,082 - Q:samplenew3_00000220 | Run:5/10 | Emotions:['Nostalgia', 'Sentimentality', 'Excitement'] | Duration:11.37s
2025-07-14 23:13:34,941 - Q:samplenew3_00000220 | Run:6/10 | Emotions:['Nostalgia', 'Longing', 'Excitement', 'Joy'] | Duration:11.86s
2025-07-14 23:13:49,304 - Q:samplenew3_00000220 | Run:7/10 | Emotions:['Nostalgia', 'Longing', 'Excitement', 'Anticipation', 'Sentimentality'] | Duration:14.36s
2025-07-14 23:14:02,250 - Q:samplenew3_00000220 | Run:8/10 | Emotions:['Nostalgia', 'Longing', 'Excitement', 'Anticipation'] | Duration:12.94s
2025-07-14 23:14:13,997 - Q:samplenew3_00000220 | Run:9/10 | Emotions:['Nostalgia', 'Longing', 'Excitement', 'Joy'] | Duration:11.75s
2025-07-14 23:14:24,690 - Q:samplenew3_00000220 | Run:10/10 | Emotions:['Nostalgia', 'Excitement', 'Longing'] | Duration:10.69s
2025-07-14 23:14:35,485 - Q:samplenew3_00000500 | Run:1/10 | Emotions:['Amusement', 'Surprise', 'Pride', 'Admiration'] | Duration:10.79s
2025-07-14 23:14:44,865 - Q:samplenew3_00000500 | Run:2/10 | Emotions:['Amusement', 'Admiration', 'Surprise'] | Duration:9.38s
2025-07-14 23:14:53,808 - Q:samplenew3_00000500 | Run:3/10 | Emotions:['Admiration', 'Surprise', 'Pride'] | Duration:8.94s
2025-07-14 23:15:03,646 - Q:samplenew3_00000500 | Run:4/10 | Emotions:['Curious', 'Amusement', 'Admiration'] | Duration:9.84s
2025-07-14 23:15:13,563 - Q:samplenew3_00000500 | Run:5/10 | Emotions:['Amusement', 'Surprise', 'Pride'] | Duration:9.92s
2025-07-14 23:15:23,508 - Q:samplenew3_00000500 | Run:6/10 | Emotions:['Admiration', 'Curiosity', 'Surprise'] | Duration:9.94s
2025-07-14 23:15:34,038 - Q:samplenew3_00000500 | Run:7/10 | Emotions:['Surprise', 'Amusement', 'Admiration'] | Duration:10.53s
2025-07-14 23:15:43,966 - Q:samplenew3_00000500 | Run:8/10 | Emotions:['Admiration', 'Curiosity', 'Surprise'] | Duration:9.93s
2025-07-14 23:15:54,934 - Q:samplenew3_00000500 | Run:9/10 | Emotions:['Surprise', 'Amusement', 'Admiration', 'Approval'] | Duration:10.97s
2025-07-14 23:16:06,325 - Q:samplenew3_00000500 | Run:10/10 | Emotions:['Surprise', 'Amazement', 'Admiration', 'Pride'] | Duration:11.39s
2025-07-14 23:16:16,108 - Q:samplenew3_00000605 | Run:1/10 | Emotions:['Frustration', 'Disappointment', 'Felt'] | Duration:9.78s
2025-07-14 23:16:24,441 - Q:samplenew3_00000605 | Run:2/10 | Emotions:['Frustration', 'Disappointment'] | Duration:8.33s
2025-07-14 23:16:35,229 - Q:samplenew3_00000605 | Run:3/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance'] | Duration:10.79s
2025-07-14 23:16:44,900 - Q:samplenew3_00000605 | Run:4/10 | Emotions:['Frustration', 'Disappointment', 'Irritation'] | Duration:9.67s
2025-07-14 23:16:54,139 - Q:samplenew3_00000605 | Run:5/10 | Emotions:['Frustration', 'Disappointment', 'Anger'] | Duration:9.24s
2025-07-14 23:17:02,469 - Q:samplenew3_00000605 | Run:6/10 | Emotions:['Frustration', 'Disappointment'] | Duration:8.33s
2025-07-14 23:17:12,243 - Q:samplenew3_00000605 | Run:7/10 | Emotions:['Frustrated', 'Disappointed', 'Irritated'] | Duration:9.77s
2025-07-14 23:17:21,664 - Q:samplenew3_00000605 | Run:8/10 | Emotions:['Frustration', 'Disappointment', 'Anger', 'Annoyance'] | Duration:9.42s
2025-07-14 23:17:30,000 - Q:samplenew3_00000605 | Run:9/10 | Emotions:['Frustration', 'Disappointment'] | Duration:8.34s
2025-07-14 23:17:39,932 - Q:samplenew3_00000605 | Run:10/10 | Emotions:['Frustration', 'Disappointment', 'Annoyance', 'Discontentment'] | Duration:9.93s
2025-07-14 23:17:48,847 - Q:samplenew3_00000447 | Run:1/10 | Emotions:['Curiosity', 'Interest', 'Amusement'] | Duration:8.91s
2025-07-14 23:17:58,862 - Q:samplenew3_00000447 | Run:2/10 | Emotions:['Surprise', 'Curiosity', 'Interest', 'Amusement'] | Duration:10.01s
2025-07-14 23:18:08,136 - Q:samplenew3_00000447 | Run:3/10 | Emotions:['Surprise', 'Curiosity', 'Amusement'] | Duration:9.27s
2025-07-14 23:18:19,188 - Q:samplenew3_00000447 | Run:4/10 | Emotions:['Curiosity', 'Surprise', 'Concern', 'Warmth', 'Politeness'] | Duration:11.05s
2025-07-14 23:18:30,712 - Q:samplenew3_00000447 | Run:5/10 | Emotions:['Curiosity', 'Surprise', 'Warmth', 'Friendliness'] | Duration:11.52s
2025-07-14 23:18:39,422 - Q:samplenew3_00000447 | Run:6/10 | Emotions:['Curiosity', 'Interest', 'Approval'] | Duration:8.71s
2025-07-14 23:18:48,625 - Q:samplenew3_00000447 | Run:7/10 | Emotions:['Curiosity', 'Surprise', 'Admiration', 'Warmth'] | Duration:9.20s
2025-07-14 23:18:57,730 - Q:samplenew3_00000447 | Run:8/10 | Emotions:['Surprise', 'Curiosity', 'Friendliness'] | Duration:9.10s
2025-07-14 23:19:07,018 - Q:samplenew3_00000447 | Run:9/10 | Emotions:['Surprise', 'Amusement', 'Warmth'] | Duration:9.29s
2025-07-14 23:19:16,812 - Q:samplenew3_00000447 | Run:10/10 | Emotions:['Curiosity', 'Surprise', 'Approval', 'Friendliness'] | Duration:9.79s
2025-07-14 23:19:24,942 - Q:samplenew3_00000744 | Run:1/10 | Emotions:['Trust', 'Respect'] | Duration:8.13s
2025-07-14 23:19:32,305 - Q:samplenew3_00000744 | Run:2/10 | Emotions:['Trust', 'Respect'] | Duration:7.36s
2025-07-14 23:19:40,215 - Q:samplenew3_00000744 | Run:3/10 | Emotions:['Trust', 'Confidence'] | Duration:7.91s
2025-07-14 23:19:48,297 - Q:samplenew3_00000744 | Run:4/10 | Emotions:['Trust', 'Respect', 'Confidence'] | Duration:8.08s
2025-07-14 23:20:01,077 - Q:samplenew3_00000744 | Run:5/10 | Emotions:['Trust', 'Respect', 'Confidence'] | Duration:12.78s
2025-07-14 23:20:10,249 - Q:samplenew3_00000744 | Run:6/10 | Emotions:['Trust', 'Respect', 'Confidence'] | Duration:9.17s
2025-07-14 23:20:18,048 - Q:samplenew3_00000744 | Run:7/10 | Emotions:['Trust', 'Respect'] | Duration:7.80s
2025-07-14 23:20:26,363 - Q:samplenew3_00000744 | Run:8/10 | Emotions:['Trust', 'Respect', 'Confidence'] | Duration:8.31s
2025-07-14 23:20:34,581 - Q:samplenew3_00000744 | Run:9/10 | Emotions:['Trust', 'Respect'] | Duration:8.22s
2025-07-14 23:20:44,382 - Q:samplenew3_00000744 | Run:10/10 | Emotions:['Trust', 'Respect', 'Certainty'] | Duration:9.80s
2025-07-14 23:20:57,163 - Q:samplenew3_00000340 | Run:1/10 | Emotions:['Pride', 'Amazement', 'Excitement'] | Duration:12.78s
2025-07-14 23:21:09,648 - Q:samplenew3_00000340 | Run:2/10 | Emotions:['Excitement', 'Confidence', 'Joy', 'Pride', 'Amazement'] | Duration:12.48s
2025-07-14 23:21:20,494 - Q:samplenew3_00000340 | Run:3/10 | Emotions:['Pride', 'Amazement', 'Excitement', 'Joy'] | Duration:10.85s
2025-07-14 23:21:31,755 - Q:samplenew3_00000340 | Run:4/10 | Emotions:['Excitement', 'Pride', 'Confidence', 'Amazement', 'Joy'] | Duration:11.26s
2025-07-14 23:21:43,104 - Q:samplenew3_00000340 | Run:5/10 | Emotions:['Amazement', 'Excitement', 'Pride', 'Satisfaction', 'Joy'] | Duration:11.35s
2025-07-14 23:21:53,978 - Q:samplenew3_00000340 | Run:6/10 | Emotions:['Excitement', 'Pride', 'Confidence', 'Amazement'] | Duration:10.87s
2025-07-14 23:22:05,306 - Q:samplenew3_00000340 | Run:7/10 | Emotions:['Excitement', 'Pride', 'Confidence', 'Joy', 'Amazement'] | Duration:11.33s
2025-07-14 23:22:16,818 - Q:samplenew3_00000340 | Run:8/10 | Emotions:['Pride', 'Excitement', 'Confidence', 'Amazement'] | Duration:11.51s
2025-07-14 23:22:27,819 - Q:samplenew3_00000340 | Run:9/10 | Emotions:['Excitement', 'Pride', 'Anticipation', 'Triumph'] | Duration:11.00s
2025-07-14 23:22:39,579 - Q:samplenew3_00000340 | Run:10/10 | Emotions:['Excitement', 'Pride', 'Confidence', 'Joy', 'Amazement'] | Duration:11.76s
2025-07-14 23:22:54,294 - Q:samplenew3_00000682 | Run:1/10 | Emotions:['Anger', 'Frustration', 'Irritation', 'Disappointment', 'Annoyance'] | Duration:14.71s
2025-07-14 23:23:06,757 - Q:samplenew3_00000682 | Run:2/10 | Emotions:['Anger', 'Defensiveness', 'Irritation', 'Frustration'] | Duration:12.46s
2025-07-14 23:23:17,977 - Q:samplenew3_00000682 | Run:3/10 | Emotions:['Anger', 'Frustration', 'Defiance', 'Irritation'] | Duration:11.22s
2025-07-14 23:23:30,180 - Q:samplenew3_00000682 | Run:4/10 | Emotions:['Anger', 'Frustration', 'Annoyance', 'Defensiveness', 'Warning', 'Threat'] | Duration:12.20s
2025-07-14 23:23:43,856 - Q:samplenew3_00000682 | Run:5/10 | Emotions:['Anger', 'Frustration', 'Defensiveness', 'Irritation', 'Annoyance'] | Duration:13.68s
2025-07-14 23:23:55,052 - Q:samplenew3_00000682 | Run:6/10 | Emotions:['Frustrated', 'Angry', 'Defiant', 'Protective'] | Duration:11.19s
2025-07-14 23:24:06,960 - Q:samplenew3_00000682 | Run:7/10 | Emotions:['Anger', 'Frustration', 'Irritation', 'Annoyance'] | Duration:11.91s
2025-07-14 23:24:19,116 - Q:samplenew3_00000682 | Run:8/10 | Emotions:['Frustration', 'Anger', 'Defiance', 'Fear'] | Duration:12.16s
2025-07-14 23:24:32,402 - Q:samplenew3_00000682 | Run:9/10 | Emotions:['Frustrated', 'Annoyed', 'Angry', 'Defensive'] | Duration:13.29s
2025-07-14 23:24:43,712 - Q:samplenew3_00000682 | Run:10/10 | Emotions:['Anger', 'Frustration', 'Irritation', 'Disgust'] | Duration:11.31s
2025-07-14 23:24:53,680 - Q:samplenew3_00000454 | Run:1/10 | Emotions:['Curious', 'Surprised', 'Intrigued'] | Duration:9.97s
2025-07-14 23:25:02,788 - Q:samplenew3_00000454 | Run:2/10 | Emotions:['Curiosity', 'Surprise', 'Intrigue', 'Depth'] | Duration:9.11s
2025-07-14 23:25:13,232 - Q:samplenew3_00000454 | Run:3/10 | Emotions:['Curiosity', 'Inquiry', 'Perplexity', 'Intrigue'] | Duration:10.44s
2025-07-14 23:25:25,183 - Q:samplenew3_00000454 | Run:4/10 | Emotions:['Curious', 'Thoughtful', 'Confused', 'Intrigued', 'Perplexed'] | Duration:11.95s
2025-07-14 23:25:36,216 - Q:samplenew3_00000454 | Run:5/10 | Emotions:['Curiosity', 'Inquisitiveness', 'Depth', 'Thoughtfulness'] | Duration:11.03s
2025-07-14 23:25:48,541 - Q:samplenew3_00000454 | Run:6/10 | Emotions:['Curious', 'Inquisitive', 'Thoughtful', 'Reflective'] | Duration:12.32s
2025-07-14 23:25:59,102 - Q:samplenew3_00000454 | Run:7/10 | Emotions:['Curiosity', 'Intrigue', 'Frustration', 'Surprise'] | Duration:10.56s
2025-07-14 23:26:10,331 - Q:samplenew3_00000454 | Run:8/10 | Emotions:['Curious', 'Perplexed', 'Intrigued'] | Duration:11.23s
2025-07-14 23:26:21,285 - Q:samplenew3_00000454 | Run:9/10 | Emotions:['Curiosity', 'Intrigue', 'Depth', 'Astonishment', 'Surprise'] | Duration:10.95s
2025-07-14 23:26:33,182 - Q:samplenew3_00000454 | Run:10/10 | Emotions:['Curious', 'Inquisitive', 'Perplexed'] | Duration:11.90s
2025-07-14 23:26:42,949 - Q:samplenew3_00000139 | Run:1/10 | Emotions:['Frustration', 'Anger', 'Confusion'] | Duration:9.77s
2025-07-14 23:26:53,633 - Q:samplenew3_00000139 | Run:2/10 | Emotions:['Confusion', 'Frustration', 'Anger', 'Irritation'] | Duration:10.68s
2025-07-14 23:27:03,101 - Q:samplenew3_00000139 | Run:3/10 | Emotions:['Frustration', 'Curiosity', 'Anger'] | Duration:9.47s
2025-07-14 23:27:11,866 - Q:samplenew3_00000139 | Run:4/10 | Emotions:['Frustration', 'Annoyance', 'Curiosity'] | Duration:8.76s
2025-07-14 23:27:22,957 - Q:samplenew3_00000139 | Run:5/10 | Emotions:['Frustration', 'Confusion', 'Irritation', 'Curiosity'] | Duration:11.09s
2025-07-14 23:27:32,518 - Q:samplenew3_00000139 | Run:6/10 | Emotions:['Frustration', 'Confusion', 'Annoyance', 'Skepticism'] | Duration:9.56s
2025-07-14 23:27:43,895 - Q:samplenew3_00000139 | Run:7/10 | Emotions:['Frustration', 'Confusion', 'Irritation', 'Annoyance'] | Duration:11.38s
2025-07-14 23:27:53,990 - Q:samplenew3_00000139 | Run:8/10 | Emotions:['Confusion', 'Frustration', 'Curiosity', 'Annoyance'] | Duration:10.09s
2025-07-14 23:28:06,401 - Q:samplenew3_00000139 | Run:9/10 | Emotions:['Frustrated', 'Confused', 'Angry'] | Duration:12.41s
2025-07-14 23:28:16,059 - Q:samplenew3_00000139 | Run:10/10 | Emotions:['Frustration', 'Anger', 'Confusion'] | Duration:9.66s
2025-07-14 23:28:24,524 - Q:samplenew3_00000827 | Run:1/10 | Emotions:['Care', 'Concern', 'Devotion'] | Duration:8.46s
2025-07-14 23:28:35,041 - Q:samplenew3_00000827 | Run:2/10 | Emotions:['Love', 'Care', 'Responsibility', 'Devotion', 'Loyalty', 'Dedication'] | Duration:10.52s
2025-07-14 23:28:47,309 - Q:samplenew3_00000827 | Run:3/10 | Emotions:['Love', 'Nurturing', 'Care', 'Devotion', 'Affection', 'Loyalty'] | Duration:12.27s
2025-07-14 23:28:57,049 - Q:samplenew3_00000827 | Run:4/10 | Emotions:['Love', 'Care', 'Devotion', 'Loyalty', 'Gratitude'] | Duration:9.74s
2025-07-14 23:29:06,571 - Q:samplenew3_00000827 | Run:5/10 | Emotions:['Care', 'Concern', 'Devotion', 'Loyalty', 'Gratitude'] | Duration:9.52s
2025-07-14 23:29:14,808 - Q:samplenew3_00000827 | Run:6/10 | Emotions:['Love', 'Care', 'Concern'] | Duration:8.24s
2025-07-14 23:29:24,177 - Q:samplenew3_00000827 | Run:7/10 | Emotions:['Love', 'Care', 'Devotion', 'Gratitude'] | Duration:9.37s
2025-07-14 23:29:33,457 - Q:samplenew3_00000827 | Run:8/10 | Emotions:['Love', 'Nurturing', 'Gratitude'] | Duration:9.28s
2025-07-14 23:29:43,131 - Q:samplenew3_00000827 | Run:9/10 | Emotions:['Love', 'Care', 'Devotion', 'Loyalty', 'Gratitude'] | Duration:9.67s
2025-07-14 23:29:54,028 - Q:samplenew3_00000827 | Run:10/10 | Emotions:['Love', 'Care', 'Concern', 'Devotion', 'Loyalty', 'Tenderness'] | Duration:10.90s
