input,output
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Indifference""?",low
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Concern""?",low
"If you are asked to analyze the emotion of this sentence: 让病人衰弱的心脏呢，暂时得到一些缓解，但是这台机器的使用呢，并不广泛。. What is your confidence level that you will answer emotion word ""Caution""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Resignation""?",high
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Helplessness""?",medium
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Frustration""?",medium
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Helpless""?",medium
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Resigned""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Powerlessness""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Hopelessness""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Powerless""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Desperation""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Sighed""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Defeated""?",low
"If you are asked to analyze the emotion of this sentence: 如果遇上了也没有办法. What is your confidence level that you will answer emotion word ""Acceptance""?",low
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Worry""?",high
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Concern""?",medium
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Anxiety""?",medium
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Anxious""?",low
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Worried""?",low
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Concerned""?",low
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Uncertainty""?",low
"If you are asked to analyze the emotion of this sentence: 凭他的处境不妙. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Anxiety""?",high
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Fear""?",high
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Concern""?",medium
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Alarm""?",low
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Anxious""?",low
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 这不唯恐天下不乱吗. What is your confidence level that you will answer emotion word ""Concerned""?",low
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Sadness""?",high
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Regret""?",high
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Disappointment""?",medium
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Nostalgia""?",low
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Longing""?",low
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Bitterness""?",low
"If you are asked to analyze the emotion of this sentence: 她是我爸的大姑，奶奶一辈子没结婚。. What is your confidence level that you will answer emotion word ""Bitter""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Anger""?",high
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Betrayal""?",high
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Fear""?",medium
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Malice""?",medium
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Deception""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Deceit""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Anxiety""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Vengeance""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Suspicion""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Resentment""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Revenge""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Suspense""?",low
"If you are asked to analyze the emotion of this sentence: 纯贵妃谋害契亚阁. What is your confidence level that you will answer emotion word ""Dread""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Pride""?",high
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Regret""?",high
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Shame""?",high
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Longing""?",medium
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Nostalgia""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Disgust""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Disdain""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Loyalty""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Respect""?",low
"If you are asked to analyze the emotion of this sentence: 我结下权贵之妻. What is your confidence level that you will answer emotion word ""Contempt""?",low
"If you are asked to analyze the emotion of this sentence: 丁小河是个不会撒谎的人. What is your confidence level that you will answer emotion word ""Trust""?",high
"If you are asked to analyze the emotion of this sentence: 丁小河是个不会撒谎的人. What is your confidence level that you will answer emotion word ""Respect""?",high
"If you are asked to analyze the emotion of this sentence: 丁小河是个不会撒谎的人. What is your confidence level that you will answer emotion word ""Confidence""?",medium
"If you are asked to analyze the emotion of this sentence: 丁小河是个不会撒谎的人. What is your confidence level that you will answer emotion word ""Certainty""?",low
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Longing""?",high
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Melancholy""?",high
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Resignation""?",high
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Sorrow""?",medium
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Sadness""?",low
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Nostalgia""?",low
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Desperation""?",low
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Yearning""?",low
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Despondency""?",low
"If you are asked to analyze the emotion of this sentence: 我也应该用嘶哑的喉咙歌唱. What is your confidence level that you will answer emotion word ""Despair""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Serious""?",high
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Firm""?",medium
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Severe""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Concerned""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Shocked""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Disgust""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Concern""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Fear""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Shock""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Authoritative""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Dreadful""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Fearful""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Disappointed""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Horror""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Fury""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Dread""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Somber""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Disapproval""?",low
"If you are asked to analyze the emotion of this sentence: 检方的量刑建议是死刑. What is your confidence level that you will answer emotion word ""Unyielding""?",low
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Nostalgia""?",high
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Longing""?",high
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Wistfulness""?",medium
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Melancholy""?",low
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Sentimental""?",low
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Wistful""?",low
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Warmth""?",low
"If you are asked to analyze the emotion of this sentence: 这让我想起了聪明的衣袖. What is your confidence level that you will answer emotion word ""Pride""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Curious""?",medium
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Curiosity""?",medium
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Intrigue""?",medium
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Intrigued""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Depth""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Perplexed""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Thoughtful""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Inquisitive""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Surprised""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Inquiry""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Perplexity""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Confused""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Inquisitiveness""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Thoughtfulness""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Reflective""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 这个问题问得好很深刻回头. What is your confidence level that you will answer emotion word ""Astonishment""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Concern""?",high
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Anxiety""?",high
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Fear""?",high
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Sadness""?",medium
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Worry""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Regret""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Panic""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Desperation""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Despair""?",low
"If you are asked to analyze the emotion of this sentence: 会害了秋府上下所有的人. What is your confidence level that you will answer emotion word ""Helplessness""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Confusion""?",high
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Curiosity""?",high
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Surprise""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Frustration""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Sarcasm""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Indignation""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Intrigue""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Concern""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 前些天，你不是给他介绍了个对象吗？. What is your confidence level that you will answer emotion word ""Skepticism""?",low
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Excitement""?",high
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Nostalgia""?",high
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Longing""?",high
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Sentimentality""?",low
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Joy""?",low
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Anticipation""?",low
"If you are asked to analyze the emotion of this sentence: 那不就是那电视剧那射雕英雄传里那梅超风. What is your confidence level that you will answer emotion word ""Sentimentalness""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Longing""?",high
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Nostalgia""?",high
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Melancholy""?",high
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Regret""?",medium
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Bittersweet""?",medium
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Frustration""?",medium
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Sorrow""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Wistfulness""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Resignation""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Bitterness""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Sadness""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Bittersweetness""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Acceptance""?",low
"If you are asked to analyze the emotion of this sentence: 男人的心态我了解，那太容易得到的就不容易珍惜。别再回头有一天，挥一挥手，不带走一片云彩。. What is your confidence level that you will answer emotion word ""Disappointment""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Confusion""?",high
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Anger""?",medium
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Helplessness""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Hurt""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Annoyance""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Confused""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Helpless""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Sadness""?",low
"If you are asked to analyze the emotion of this sentence: 我没觉得，我自己有多稀罕，我就弄不明白了，你为什么这么害我。. What is your confidence level that you will answer emotion word ""Resentment""?",low
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Frustration""?",high
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Confusion""?",high
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Anger""?",medium
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Curiosity""?",medium
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Annoyance""?",medium
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Irritation""?",low
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Skepticism""?",low
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Frustrated""?",low
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Confused""?",low
"If you are asked to analyze the emotion of this sentence: 你跟建明到底想干什么呀你们. What is your confidence level that you will answer emotion word ""Angry""?",low
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Fear""?",high
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Concern""?",high
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Anxiety""?",high
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Apprehension""?",medium
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Dread""?",medium
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Worry""?",low
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Anger""?",low
"If you are asked to analyze the emotion of this sentence: 此二人若勾结起来不知要做出多少祸国殃民的事来. What is your confidence level that you will answer emotion word ""Alarm""?",low
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Anxiety""?",high
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Fear""?",high
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Desperation""?",high
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Defeat""?",medium
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Helplessness""?",medium
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Resignation""?",low
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Shame""?",low
"If you are asked to analyze the emotion of this sentence: 把我给抓回去那我就完了我肯定会受到责罚的. What is your confidence level that you will answer emotion word ""Guilt""?",low
